compas_screening_date,sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_offense_date,c_arrest_date,c_days_from_compas,c_charge_degree,is_recid,num_r_cases,r_days_from_arrest,r_offense_date,r_jail_in,r_jail_out,num_vr_cases,vr_offense_date,v_decile_score,v_screening_date,screening_date
447,Male,37,0,0,1,0,0,0,0.0,447.0,446.0,9634.0,,0.0,M,0,,,,,,,,1,447,447
355,Male,25,0,0,10,0,0,3,-1.0,354.0,354.0,9541.0,,1.0,F,0,,,,,,,,9,355,355
320,Male,31,1,0,5,0,0,6,-1.0,319.0,319.0,9506.0,,1.0,F,1,,,559.0,,,,534.0,4,320,320
683,Male,31,1,0,3,0,0,5,-1.0,682.0,682.0,9869.0,,1.0,F,1,,1.0,844.0,844.0,877.0,,,2,683,683
486,Male,64,0,0,6,0,0,13,-1.0,485.0,485.0,,6161.0,1.0,F,1,,0.0,485.0,484.0,484.0,,,3,486,486
107,Male,21,0,0,9,0,0,1,-1.0,106.0,108.0,9293.0,,1.0,F,1,,0.0,135.0,134.0,134.0,,,9,107,107
653,Male,27,1,0,2,0,0,0,0.0,653.0,652.0,9840.0,,0.0,M,1,,,732.0,,,,,3,653,653
325,Female,21,1,0,4,0,0,0,-2.0,323.0,323.0,9510.0,,2.0,F,0,,,,,,,,5,325,325
653,Male,24,0,0,-1,0,0,2,0.0,653.0,653.0,9840.0,,0.0,F,1,,,739.0,,,,,6,653,653
38,Male,24,0,0,4,0,0,1,0.0,38.0,38.0,9224.0,,1.0,F,1,,,447.0,,,,,5,38,38
701,Male,42,1,0,3,0,0,1,-132.0,569.0,673.0,9755.0,,133.0,F,0,,,,,,,,1,701,701
24,Male,43,1,0,1,0,0,1,-1.0,23.0,23.0,9210.0,,1.0,M,0,,,,,,,,2,24,24
130,Male,32,0,0,3,0,0,0,-1.0,129.0,130.0,9316.0,,1.0,M,0,,,,,,,,4,130,130
143,Female,54,0,0,9,0,0,0,-1.0,142.0,252.0,9329.0,,1.0,F,0,,,,,,,,5,143,143
597,Male,44,0,0,6,0,0,8,0.0,597.0,596.0,,1977.0,4296.0,M,0,,,,,,,,4,597,597
125,Male,27,0,0,3,0,0,8,-1.0,124.0,140.0,9311.0,,1.0,F,1,,,307.0,,,,756.0,3,125,125
76,Female,36,1,0,3,0,0,3,53.0,129.0,129.0,,5657.0,95.0,F,0,,,,,,,,1,76,76
50,Male,26,0,0,7,0,1,5,-1.0,49.0,49.0,9236.0,,1.0,F,1,,0.0,569.0,568.0,594.0,,,7,50,50
661,Male,33,0,0,10,0,0,0,0.0,661.0,698.0,9847.0,,1.0,F,1,,,954.0,,,,929.0,6,661,661
27,Male,30,1,0,9,0,0,9,0.0,27.0,70.0,9214.0,,0.0,F,1,,0.0,187.0,186.0,186.0,,,10,27,27
683,Male,32,0,0,8,0,0,4,-1.0,682.0,682.0,9869.0,,1.0,F,1,,1.0,687.0,687.0,688.0,,,3,683,683
705,Male,63,0,0,1,0,0,0,-1.0,704.0,705.0,9891.0,,1.0,M,0,,,,,,,,1,705,705
689,Male,27,0,0,3,0,0,2,0.0,689.0,688.0,9875.0,,1.0,F,0,,,,,,,,3,689,689
363,Male,55,1,0,1,0,0,0,-1.0,362.0,363.0,,6038.0,1.0,F,0,,,,,,,,1,363,363
258,Male,32,0,0,10,0,0,15,0.0,258.0,349.0,9445.0,,0.0,F,0,,,,,,,,8,258,258
375,Male,38,0,0,3,0,2,5,-1.0,374.0,539.0,9561.0,,1.0,F,0,,,,,,,,4,375,375
19,Male,53,1,0,5,0,0,19,-1.0,18.0,23.0,9205.0,,1.0,F,0,,,,,,,,2,19,19
93,Male,49,0,0,3,0,0,7,-1.0,92.0,95.0,9280.0,,0.0,F,1,,,750.0,,,,,2,93,93
98,Male,26,1,0,8,0,2,6,81.0,179.0,190.0,8903.0,,382.0,M,0,,,,,,,,8,98,98
336,Female,33,1,0,5,0,0,4,-1.0,335.0,345.0,9522.0,,1.0,M,1,,57.0,557.0,613.0,613.0,,,2,336,336
257,Male,24,1,0,2,0,0,1,0.0,257.0,257.0,9444.0,,0.0,M,1,,0.0,495.0,494.0,496.0,,,3,257,257
10,Male,34,0,2,9,1,3,21,0.0,10.0,42.0,9197.0,,0.0,F,1,,0.0,522.0,521.0,698.0,,,6,10,10
15,Male,29,1,0,2,0,0,0,0.0,15.0,14.0,9201.0,,1.0,M,0,,,,,,,,2,15,15
235,Female,21,0,0,8,0,0,2,-1.0,234.0,313.0,,5910.0,1.0,F,0,,,,,,,,8,235,235
58,Male,51,0,0,1,0,0,2,-1.0,57.0,57.0,9244.0,,1.0,M,0,,,,,,,,1,58,58
460,Male,29,1,0,2,0,0,2,-1.0,459.0,459.0,9646.0,,1.0,M,1,,0.0,530.0,529.0,529.0,,,2,460,460
234,Male,25,0,0,6,0,0,0,-1.0,233.0,504.0,9420.0,,1.0,F,0,,,,,,,,7,234,234
44,Female,51,0,0,2,0,0,7,-1.0,43.0,44.0,9230.0,,1.0,F,0,,,,,,,,2,44,44
621,Male,28,1,0,7,0,0,8,0.0,621.0,621.0,9808.0,,0.0,F,0,,,,,,,,4,621,621
589,Male,36,0,0,9,0,0,22,-1.0,588.0,784.0,9775.0,,1.0,M,0,,,,,,,,10,589,589
426,Male,29,0,0,7,0,0,0,0.0,426.0,425.0,9613.0,,0.0,F,1,,1.0,485.0,485.0,520.0,,,2,426,426
534,Male,29,0,0,1,0,0,0,-1.0,533.0,534.0,9719.0,,2.0,M,0,,,,,,,,2,534,534
451,Male,25,1,0,10,0,0,9,-1.0,450.0,456.0,9637.0,,1.0,M,1,,0.0,457.0,456.0,464.0,,432.0,9,451,451
503,Male,35,0,1,8,0,4,13,-1.0,502.0,502.0,9689.0,,1.0,F,1,,0.0,510.0,509.0,509.0,,485.0,3,503,503
213,Male,49,1,0,1,0,0,0,0.0,213.0,212.0,9400.0,,0.0,M,0,,,,,,,,1,213,213
724,Male,34,0,0,3,0,0,4,-59.0,665.0,715.0,9852.0,,59.0,M,1,,,979.0,,,,,2,724,724
113,Male,29,0,0,4,0,0,0,0.0,113.0,112.0,9299.0,,1.0,F,0,,,,,,,,3,113,113
153,Male,29,1,0,2,0,0,1,-24.0,129.0,128.0,9316.0,,24.0,F,1,,0.0,592.0,591.0,590.0,,,2,153,153
321,Female,28,0,0,2,0,0,0,-1.0,320.0,320.0,9507.0,,1.0,F,0,,,,,,,,2,321,321
642,Male,51,1,0,2,0,0,0,-1.0,641.0,665.0,9828.0,,1.0,F,0,,,,,,,,1,642,642
518,Male,25,1,0,3,0,0,0,0.0,518.0,517.0,9705.0,,0.0,F,0,,,,,,,,3,518,518
121,Male,48,1,0,6,0,0,20,302.0,423.0,433.0,,5235.0,562.0,F,1,,,394.0,,,,,4,121,121
661,Male,33,1,0,9,0,0,1,0.0,661.0,661.0,9848.0,,0.0,F,0,,,,,,,,10,661,661
386,Female,63,0,0,1,0,0,1,-219.0,167.0,174.0,,5843.0,219.0,F,0,,,,,,,,1,386,386
671,Male,30,0,0,6,0,1,3,-1.0,670.0,671.0,9857.0,,1.0,F,0,,,,,,,,4,671,671
76,Male,31,0,0,5,0,1,15,-1.0,75.0,210.0,9262.0,,1.0,F,1,,,1151.0,,,,,7,76,76
260,Male,24,0,0,4,0,0,2,-1.0,259.0,260.0,9446.0,,1.0,F,1,,1.0,833.0,833.0,832.0,,,4,260,260
676,Male,27,0,0,5,0,0,0,-1.0,675.0,675.0,9862.0,,1.0,F,0,,,,,,,,3,676,676
575,Male,32,1,0,8,0,0,3,-1.0,574.0,574.0,9761.0,,1.0,F,0,,,,,,,,2,575,575
19,Male,30,0,0,7,0,0,0,0.0,19.0,41.0,9206.0,,0.0,M,0,,,,,,,,3,19,19
238,Male,49,0,0,1,0,0,4,-1.0,237.0,237.0,9424.0,,1.0,M,0,,,,,,,,1,238,238
147,Male,53,1,0,5,0,0,8,-13.0,134.0,146.0,,5810.0,13.0,F,0,,,,,,,,2,147,147
701,Female,31,0,0,1,0,0,0,-1.0,700.0,699.0,9887.0,,1.0,M,0,,,,,,,,1,701,701
41,Male,35,0,0,3,0,0,5,-1.0,40.0,40.0,9227.0,,1.0,F,0,,,,,,,,2,41,41
160,Male,63,0,0,7,0,0,10,-38.0,122.0,157.0,8441.0,,906.0,M,1,,,202.0,,,,,5,160,160
468,Male,33,0,0,1,0,0,2,-1.0,467.0,467.0,9654.0,,1.0,F,0,,,,,,,,1,468,468
606,Male,27,0,1,10,1,2,15,-1.0,605.0,605.0,9792.0,,1.0,F,1,,0.0,648.0,647.0,651.0,,,9,606,606
34,Male,38,1,0,2,0,0,4,-1.0,33.0,34.0,9220.0,,1.0,M,1,,,304.0,,,,,2,34,34
79,Male,46,1,3,6,1,0,9,-1.0,78.0,79.0,9265.0,,1.0,F,0,,,,,,,,3,79,79
319,Male,22,0,0,4,0,1,1,-1.0,318.0,318.0,9505.0,,1.0,F,1,,,688.0,,,,,6,319,319
575,Female,34,1,0,1,0,0,0,0.0,575.0,574.0,9762.0,,0.0,M,0,,,,,,,,1,575,575
72,Male,22,0,0,10,1,2,2,70.0,142.0,265.0,9145.0,,114.0,F,1,,0.0,980.0,979.0,1067.0,,,9,72,72
25,Male,29,0,0,9,0,0,4,-1.0,24.0,42.0,,5700.0,1.0,F,1,,,232.0,,,,,5,25,25
7,Male,62,0,0,1,0,0,0,0.0,7.0,6.0,9193.0,,1.0,M,0,,,,,,,,1,7,7
484,Male,27,0,0,6,1,0,6,0.0,484.0,513.0,9671.0,,0.0,F,1,,0.0,675.0,674.0,674.0,,,3,484,484
432,Male,33,0,0,1,0,0,0,-1.0,431.0,431.0,9618.0,,1.0,M,0,,,,,,,,1,432,432
270,Female,56,0,0,1,0,0,0,0.0,270.0,272.0,9456.0,,1.0,M,0,,,,,,,,1,270,270
12,Male,45,0,0,1,0,0,6,-1.0,11.0,252.0,9198.0,,1.0,F,1,,,333.0,,,,369.0,1,12,12
144,Male,22,0,0,4,0,0,1,-1.0,143.0,143.0,9330.0,,1.0,F,0,,,,,,,,6,144,144
676,Female,31,1,0,3,0,0,2,-1.0,675.0,675.0,9862.0,,1.0,F,0,,,,,,,,2,676,676
8,Male,34,0,0,4,0,0,0,0.0,8.0,426.0,9195.0,,0.0,F,0,,,,,,,,4,8,8
65,Male,39,0,0,4,0,0,1,-1.0,64.0,68.0,,5740.0,1.0,M,0,,,,,,,,2,65,65
628,Male,24,0,0,6,1,0,4,-1.0,627.0,627.0,9814.0,,1.0,M,0,,,,,,,,4,628,628
6,Male,29,0,0,6,0,0,5,0.0,6.0,6.0,9193.0,,0.0,F,1,,0.0,257.0,256.0,256.0,,,3,6,6
701,Male,27,1,0,6,0,1,1,-1.0,700.0,713.0,,6376.0,1.0,F,1,,,1040.0,,,,,3,701,701
666,Female,24,0,0,4,0,0,1,-325.0,341.0,340.0,9528.0,,325.0,M,0,,,,,,,,2,666,666
197,Male,40,0,0,2,0,0,2,-15.0,182.0,184.0,,5858.0,15.0,F,0,,,,,,,,1,197,197
427,Male,51,0,0,1,0,0,1,-78.0,349.0,404.0,,6025.0,78.0,F,0,,,,,,,,1,427,427
236,Male,22,0,0,3,0,0,1,0.0,236.0,252.0,9422.0,,1.0,M,1,,,641.0,,,,,3,236,236
49,Male,22,1,0,8,0,0,0,-1.0,48.0,105.0,9235.0,,1.0,F,0,,,,,,,,6,49,49
311,Female,26,0,0,4,0,0,1,-1.0,310.0,311.0,9497.0,,1.0,F,1,,0.0,320.0,319.0,376.0,,295.0,3,311,311
566,Male,27,1,0,7,0,0,1,-43.0,523.0,541.0,9709.0,,44.0,F,1,,24.0,822.0,845.0,862.0,,797.0,8,566,566
462,Female,59,0,0,1,0,0,2,,,,,6071.0,67.0,F,0,,,,,,,,1,462,462
469,Male,32,1,0,1,0,0,3,-389.0,80.0,149.0,8945.0,,711.0,M,0,,,,,,,,3,469,469
62,Male,32,0,0,2,0,0,0,-1.0,61.0,61.0,9248.0,,1.0,F,0,,,,,,,,1,62,62
58,Male,41,0,0,2,0,0,1,-1.0,57.0,58.0,,549.0,5185.0,M,0,,,,,,,,2,58,58
480,Male,50,1,0,1,0,0,0,-1.0,479.0,479.0,9666.0,,1.0,M,0,,,,,,,,1,480,480
51,Male,30,0,0,10,0,0,8,-1.0,50.0,50.0,9237.0,,1.0,M,1,,0.0,104.0,103.0,103.0,,816.0,9,51,51
654,Male,66,0,0,9,0,0,0,-1.0,653.0,653.0,,4958.0,1372.0,M,0,,,,,,,,3,654,654
562,Male,52,0,0,5,0,0,3,-318.0,244.0,252.0,9748.0,,1.0,F,0,,,,,,,,1,562,562
539,Male,22,1,0,6,0,0,3,-5.0,534.0,533.0,9719.0,,7.0,F,0,,,,,,,,5,539,539
583,Male,50,0,0,1,0,0,0,-1.0,582.0,582.0,,6258.0,1.0,F,1,,135.0,763.0,897.0,898.0,,,2,583,583
109,Male,25,0,1,10,6,1,14,-1.0,108.0,114.0,,5784.0,1.0,F,1,,0.0,207.0,206.0,224.0,,1136.0,10,109,109
275,Male,20,0,0,5,0,0,0,-1.0,274.0,274.0,9461.0,,1.0,F,1,,0.0,392.0,391.0,813.0,,367.0,8,275,275
380,Male,22,0,1,9,0,0,2,0.0,380.0,409.0,9567.0,,0.0,F,1,,1.0,553.0,553.0,552.0,,,10,380,380
440,Male,23,0,0,7,0,1,2,137.0,577.0,577.0,,5924.0,192.0,M,1,,,620.0,,,,,8,440,440
583,Male,54,0,0,6,0,0,6,-1.0,582.0,687.0,,5395.0,864.0,F,0,,,,,,,,5,583,583
449,Male,40,1,0,5,0,0,4,-1.0,448.0,448.0,,6124.0,1.0,F,0,,,,,,,,4,449,449
605,Male,25,0,0,7,0,0,10,-181.0,424.0,604.0,,6143.0,138.0,F,0,,,,,,,,6,605,605
88,Female,35,0,0,2,0,0,1,-1.0,87.0,87.0,,5763.0,1.0,M,0,,,,,,,,1,88,88
483,Male,36,0,0,7,0,0,9,0.0,483.0,486.0,9669.0,,1.0,F,1,,1.0,508.0,508.0,507.0,,,6,483,483
11,Male,26,1,0,8,0,0,7,0.0,11.0,10.0,9197.0,,1.0,F,1,,1.0,386.0,386.0,386.0,,,4,11,11
109,Male,21,0,0,6,0,0,1,0.0,109.0,112.0,9295.0,,1.0,F,1,,0.0,360.0,359.0,456.0,,,6,109,109
714,Male,30,1,0,5,0,1,6,-239.0,475.0,484.0,9900.0,,1.0,F,0,,,,,,,,4,714,714
711,Male,25,1,0,8,0,0,9,-1.0,710.0,710.0,9897.0,,1.0,F,1,,,854.0,,,,870.0,9,711,711
3,Male,71,0,0,7,0,0,12,,,,8386.0,,804.0,M,0,,,,,,,,3,3,3
702,Male,34,0,0,3,0,0,3,-21.0,681.0,696.0,9868.0,,21.0,M,0,,,,,,,,2,702,702
317,Female,20,1,0,7,0,0,0,-1.0,316.0,316.0,9503.0,,1.0,F,0,,,,,,,,8,317,317
43,Male,39,1,0,1,0,0,2,-2.0,41.0,40.0,9227.0,,3.0,F,1,,0.0,104.0,103.0,124.0,,,1,43,43
309,Male,66,1,0,1,0,0,3,-64.0,245.0,274.0,9432.0,,64.0,F,0,,,,,,,,1,309,309
104,Female,54,1,0,1,0,0,0,0.0,104.0,103.0,9290.0,,1.0,M,0,,,,,,,,1,104,104
231,Female,44,0,0,1,0,0,0,-2.0,229.0,229.0,9416.0,,2.0,M,0,,,,,,,,1,231,231
682,Male,19,0,0,4,0,0,1,-10.0,672.0,680.0,9859.0,,10.0,M,1,,0.0,784.0,783.0,788.0,,759.0,7,682,682
423,Male,24,0,0,2,0,0,1,-137.0,286.0,422.0,,5962.0,137.0,F,0,,,,,,,,3,423,423
251,Male,30,0,0,2,0,0,1,-1.0,250.0,250.0,9437.0,,1.0,F,0,,,,,,,,2,251,251
247,Female,39,1,0,1,0,0,0,-1.0,246.0,247.0,9433.0,,1.0,F,1,,1.0,297.0,297.0,296.0,,272.0,1,247,247
693,Female,32,0,0,3,0,0,8,0.0,693.0,693.0,9879.0,,1.0,M,0,,,,,,,,1,693,693
100,Male,24,1,0,6,1,2,8,-1.0,99.0,110.0,9287.0,,0.0,F,1,,1.0,125.0,125.0,124.0,,,6,100,100
240,Male,30,1,0,4,0,0,0,-1.0,239.0,244.0,9426.0,,1.0,F,0,,,,,,,,2,240,240
416,Male,31,1,0,5,0,0,0,-1.0,415.0,453.0,9602.0,,1.0,M,0,,,,,,,,2,416,416
56,Female,39,1,0,4,0,0,1,-1.0,55.0,161.0,9242.0,,1.0,F,0,,,,,,,,3,56,56
702,Male,59,0,0,9,0,0,14,178.0,880.0,989.0,,6113.0,265.0,F,1,,0.0,878.0,877.0,986.0,,853.0,4,702,702
492,Male,35,1,0,6,0,0,7,0.0,492.0,491.0,9679.0,,0.0,F,0,,,,,,,,3,492,492
520,Female,24,0,0,3,0,0,0,-1.0,519.0,535.0,9706.0,,1.0,F,0,,,,,,,,4,520,520
226,Male,43,1,0,1,0,0,1,-30.0,196.0,196.0,9383.0,,30.0,F,0,,,,,,,,1,226,226
653,Male,21,0,1,9,0,1,2,-1.0,652.0,653.0,9839.0,,1.0,F,0,,,,,,,,6,653,653
627,Female,21,0,0,4,0,0,0,-1.0,626.0,629.0,9813.0,,1.0,M,0,,,,,,,,4,627,627
60,Male,21,0,0,9,0,0,3,-1.0,59.0,64.0,9246.0,,1.0,F,1,,0.0,82.0,81.0,382.0,,,6,60,60
521,Male,27,0,0,7,0,0,0,-1.0,520.0,520.0,9707.0,,1.0,F,0,,,,,,,,3,521,521
645,Male,20,0,0,8,0,0,0,0.0,645.0,644.0,,6321.0,0.0,F,0,,,,,,,,6,645,645
15,Male,38,1,0,4,0,0,5,-1.0,14.0,16.0,9201.0,,1.0,M,1,,0.0,68.0,67.0,67.0,,,3,15,15
55,Male,27,0,0,9,0,0,3,-1.0,54.0,260.0,9240.0,,2.0,F,0,,,,,,,,4,55,55
45,Male,34,1,0,5,0,0,0,0.0,45.0,59.0,9232.0,,0.0,F,0,,,,,,,,5,45,45
727,Male,30,0,0,3,0,0,3,0.0,727.0,726.0,9914.0,,0.0,F,0,,,,,,,,3,727,727
320,Male,33,0,0,5,0,0,5,0.0,320.0,319.0,9506.0,,1.0,F,1,,,663.0,,,,,2,320,320
321,Male,37,0,0,2,0,0,3,0.0,321.0,321.0,9508.0,,0.0,F,0,,,,,,,,1,321,321
74,Male,42,1,0,2,0,0,1,0.0,74.0,74.0,9260.0,,1.0,F,1,,1.0,73.0,73.0,108.0,,,2,74,74
248,Male,41,0,0,9,1,0,10,0.0,248.0,423.0,9435.0,,0.0,F,1,,0.0,531.0,530.0,570.0,,,7,248,248
316,Male,22,0,0,4,0,0,0,-1.0,315.0,315.0,9502.0,,1.0,F,1,,362.0,708.0,1069.0,1068.0,,,7,316,316
375,Male,33,0,0,8,12,2,28,-1.0,374.0,375.0,9561.0,,1.0,F,1,,0.0,456.0,455.0,455.0,,,5,375,375
671,Male,44,1,0,1,0,0,0,-3.0,668.0,668.0,9855.0,,3.0,M,0,,,,,,,,1,671,671
286,Male,31,0,0,7,0,0,1,-1.0,285.0,285.0,9472.0,,1.0,M,0,,,,,,,,8,286,286
415,Male,26,0,0,8,0,0,9,0.0,415.0,415.0,9602.0,,0.0,F,0,,,,,,,,7,415,415
301,Female,30,0,0,2,0,0,1,-1.0,300.0,300.0,9487.0,,1.0,F,0,,,,,,,,2,301,301
56,Male,31,1,0,10,0,0,13,-1.0,55.0,525.0,,5732.0,0.0,F,1,,,109.0,,,,644.0,7,56,56
683,Male,27,0,0,9,0,0,3,-1.0,682.0,682.0,9869.0,,1.0,F,1,,,930.0,,,,,4,683,683
618,Female,31,1,0,2,0,0,1,-1.0,617.0,617.0,9804.0,,1.0,F,0,,,,,,,,2,618,618
521,Male,47,0,0,1,0,0,2,-1.0,520.0,520.0,9707.0,,1.0,F,0,,,,,,,,1,521,521
339,Male,56,0,0,9,0,0,8,67.0,406.0,485.0,,5936.0,79.0,F,0,,,,,,,,3,339,339
636,Male,33,0,0,8,0,0,2,14.0,650.0,663.0,9691.0,,132.0,M,0,,,,,,,,8,636,636
209,Male,52,1,0,9,0,0,3,-2.0,207.0,207.0,9394.0,,2.0,M,0,,,,,,,,6,209,209
362,Male,33,0,0,10,0,0,19,-1.0,361.0,361.0,,6037.0,1.0,F,1,,,745.0,,,,,7,362,362
566,Male,61,1,0,4,0,0,0,-1.0,565.0,579.0,9752.0,,1.0,F,0,,,,,,,,1,566,566
454,Female,64,1,0,1,0,0,2,-47.0,407.0,406.0,9593.0,,48.0,M,0,,,,,,,,1,454,454
588,Male,22,1,0,6,0,0,4,-36.0,552.0,565.0,9739.0,,36.0,F,1,,,1029.0,,,,,8,588,588
259,Male,42,1,0,3,0,0,6,-4.0,255.0,254.0,9441.0,,5.0,F,0,,,,,,,,1,259,259
356,Female,25,1,0,4,0,0,2,-1.0,355.0,357.0,,6031.0,1.0,F,0,,,,,,,,5,356,356
513,Male,27,1,0,1,0,0,0,-1.0,512.0,512.0,9699.0,,1.0,F,0,,,,,,,,2,513,513
322,Male,30,1,0,2,0,0,1,-20.0,302.0,305.0,9489.0,,20.0,M,0,,,,,,,,2,322,322
240,Male,28,1,0,1,0,0,2,,,,,5755.0,161.0,F,0,,,,,,,,2,240,240
363,Female,37,0,0,2,0,0,2,-1.0,362.0,363.0,9328.0,,222.0,M,0,,,,,,,,1,363,363
552,Male,21,1,0,5,0,0,1,-1.0,551.0,551.0,9738.0,,1.0,F,0,,,,,,,,6,552,552
717,Male,28,1,0,2,0,0,0,-1.0,716.0,716.0,9903.0,,1.0,M,1,,0.0,1136.0,1135.0,1135.0,,,3,717,717
402,Female,24,0,0,2,0,0,0,-1.0,401.0,402.0,9588.0,,1.0,M,0,,,,,,,,3,402,402
442,Male,37,0,0,8,0,0,13,-29.0,413.0,441.0,,6113.0,5.0,F,0,,,,,,,,7,442,442
294,Male,22,0,0,9,0,0,0,-1.0,293.0,300.0,9480.0,,1.0,F,0,,,,,,,,8,294,294
687,Female,29,1,0,4,1,0,10,-1.0,686.0,692.0,9873.0,,1.0,F,1,,1.0,796.0,796.0,833.0,,,2,687,687
480,Female,25,1,0,3,0,0,0,-1.0,479.0,479.0,9666.0,,1.0,F,0,,,,,,,,3,480,480
391,Male,44,1,0,2,0,0,2,0.0,391.0,390.0,9577.0,,1.0,M,1,,,605.0,,,,,1,391,391
458,Female,30,0,0,5,0,0,4,-35.0,423.0,422.0,9609.0,,36.0,F,1,,1.0,493.0,493.0,524.0,,468.0,5,458,458
1,Male,32,0,0,7,0,0,3,-1.0,0.0,7.0,9187.0,,1.0,F,1,,,609.0,,,,,3,1,1
509,Male,53,0,0,4,0,0,1,-1.0,508.0,508.0,9695.0,,1.0,F,0,,,,,,,,1,509,509
697,Male,34,0,0,2,0,0,1,0.0,697.0,698.0,9884.0,,0.0,M,0,,,,,,,,1,697,697
247,Male,31,1,0,3,0,0,2,-16.0,231.0,245.0,9418.0,,16.0,M,1,,,293.0,,,,,3,247,247
211,Male,27,0,0,10,0,0,5,20.0,231.0,237.0,9320.0,,78.0,F,0,,,,,,,,10,211,211
16,Male,31,0,0,2,0,0,1,-1.0,15.0,15.0,9202.0,,1.0,M,1,,,1154.0,,,,,3,16,16
91,Male,59,1,0,2,0,0,1,-1.0,90.0,90.0,9277.0,,1.0,F,1,,5.0,253.0,257.0,263.0,,,1,91,91
423,Male,28,0,0,10,0,0,15,0.0,423.0,463.0,9609.0,,1.0,F,0,,,,,,,,8,423,423
113,Female,45,1,0,4,0,0,4,,,,,5414.0,375.0,F,0,,,,,,,,3,113,113
678,Male,23,1,0,3,0,0,0,-1.0,677.0,677.0,9864.0,,1.0,M,0,,,,,,,,3,678,678
323,Female,20,0,1,10,0,0,1,0.0,323.0,325.0,,5999.0,0.0,F,0,,,,,,,,10,323,323
573,Male,42,0,0,1,0,0,2,-41.0,532.0,542.0,,6208.0,41.0,F,0,,,,,,,,1,573,573
133,Female,43,1,0,1,0,0,0,0.0,133.0,133.0,9320.0,,0.0,M,0,,,,,,,,1,133,133
473,Male,38,0,1,8,1,0,9,-1.0,472.0,484.0,9659.0,,1.0,F,1,,0.0,600.0,599.0,599.0,,,4,473,473
717,Male,32,0,0,6,0,0,11,-2.0,715.0,715.0,9902.0,,2.0,F,1,,0.0,739.0,738.0,773.0,,802.0,5,717,717
359,Male,33,0,0,5,0,0,8,-1.0,358.0,358.0,9545.0,,1.0,M,1,,,544.0,,,,565.0,2,359,359
635,Male,55,0,0,8,0,0,4,-1.0,634.0,649.0,,4831.0,1480.0,M,0,,,,,,,,3,635,635
660,Female,31,0,0,3,0,0,0,-1.0,659.0,660.0,9846.0,,1.0,F,1,,39.0,778.0,816.0,852.0,,,2,660,660
10,Female,33,0,0,9,0,0,7,-1.0,9.0,34.0,9196.0,,1.0,F,1,,0.0,283.0,282.0,300.0,,,9,10,10
105,Male,27,0,0,9,0,0,2,-1.0,104.0,104.0,9291.0,,1.0,F,1,,0.0,121.0,120.0,119.0,,,8,105,105
